lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20.0833,118.333,0,178.505,18.218,5.25497,10.8546
20.0833,118.417,0,181.114,18.4843,4.2329,9.91435
20.0833,118.5,0,183.647,18.7428,2.87598,8.6369
20.0833,118.583,0,186.198,19.0031,1.78619,7.62713
20.0833,118.667,0,188.862,19.275,1.59504,7.51954
20.0833,118.75,0,191.711,19.5657,2.81449,8.82834
20.0833,118.833,0,194.766,19.8776,5.70149,11.8112
20.0833,118.917,0,197.989,20.2065,10.1674,16.3783
20.0833,119,0,201.275,20.5418,15.7557,22.0696
20.0833,119.083,0,204.463,20.8672,21.697,28.1109
20.0833,119.167,0,207.367,21.1636,27.0352,33.5402
20.0833,119.25,0,209.802,21.4121,30.8015,37.3829
20.0833,119.333,0,211.62,21.5977,32.2025,38.8409
20.0833,119.417,0,212.743,21.7123,30.7822,37.4558
20.0833,119.5,0,213.174,21.7563,26.524,33.2112
20.0833,119.583,0,213.007,21.7392,19.867,26.5489
20.0833,119.667,0,212.404,21.6777,11.6303,18.2932
20.0833,119.75,0,211.574,21.5929,2.85657,9.49351
20.0833,119.833,0,210.73,21.5068,-5.39335,1.21712
20.0833,119.917,0,210.053,21.4377,-12.2561,-5.66684
20.0833,120,0,209.662,21.3978,-17.2439,-10.667
20.0833,120.083,0,209.593,21.3908,-20.3473,-13.7725
20.0833,120.167,0,209.806,21.4125,-22.0364,-15.4549
20.0833,120.25,0,210.201,21.4529,-23.1563,-16.5624
20.0833,120.333,0,210.658,21.4994,-24.7339,-18.1257
20.0833,120.417,0,211.075,21.542,-27.732,-21.1107
20.0833,120.5,0,211.415,21.5768,-32.7992,-26.1673
20.0833,120.583,0,211.739,21.6098,-40.0691,-33.427
20.0833,120.667,0,212.213,21.6582,-49.051,-42.394
20.0833,120.75,0,213.106,21.7493,-58.6417,-51.9567
20.0833,120.833,0,214.75,21.9171,-67.263,-60.5264
20.0833,120.917,0,217.493,22.197,-73.1054,-66.2828
