# BGI DATA EXTRACTION
# REQUEST : latitude =38.30000000/41.80000000  longitude =-84.90000000/-80.50000000  country=102
# source	lat(deg)	long(deg)	alt(m) 	g(mgal)
31020552 39.74830000 -84.83330000 348.4 980024.49
31020552 39.77780000 -84.83330000 340.5 980027.81
31020552 39.81380000 -84.83190000 318.8 980035.58
31020713 38.82500000 -84.83170000 143.9 979996.70
31020489 40.00490000 -84.83160000 372.6 980045.70
31020713 38.87100000 -84.83150000 158.2 979993.50
31020015 40.00560000 -84.82990000 373.5 980045.88
31020489 39.62490000 -84.82990000 318.3 980047.50
31020489 39.90830000 -84.82990000 331.3 980042.10
31020552 40.44030000 -84.82990000 295.7 980124.98
31020552 40.54240000 -84.82860000 262.7 980140.64
31020015 40.02030000 -84.82830000 371.7 980048.02
31020489 40.09330000 -84.82830000 349.0 980062.30
31020552 40.45110000 -84.82780000 284.8 980127.50
31020015 40.09310000 -84.82660000 348.8 980063.07
31020489 40.66160000 -84.82660000 253.9 980148.50
31020552 40.47630000 -84.82630000 279.5 980129.76
31020552 39.68740000 -84.82580000 333.2 980029.92
31020713 38.79650000 -84.82530000 156.4 979992.50
31020015 40.16630000 -84.82490000 342.8 980074.67
31020552 40.32410000 -84.82460000 321.3 980107.26
31020552 40.27530000 -84.82440000 311.5 980100.99
31020552 39.70460000 -84.82360000 339.9 980025.88
31020552 39.71580000 -84.82360000 341.6 980024.78
31020015 40.31160000 -84.82330000 328.0 980103.12
31020363 38.58660000 -84.82330000 290.2 979941.40
31020489 39.25330000 -84.82330000 158.9 980035.10
31020566 39.49380000 -84.82210000 298.1 980047.12
31020552 40.39410000 -84.82080000 293.3 980124.24
31020552 39.55030000 -84.82040000 296.0 980055.05
31020552 40.51360000 -84.81960000 267.0 980136.09
31020552 39.86530000 -84.81940000 332.5 980035.85
31020552 40.44040000 -84.81910000 294.3 980126.38
31020552 40.43330000 -84.81880000 296.6 980125.92
31020713 38.89430000 -84.81870000 143.3 979997.10
31020489 41.07990000 -84.81660000 230.6 980204.50
31020566 39.42990000 -84.81660000 305.7 980038.79
31020566 41.70240000 -84.81630000 331.6 980218.39
31020552 39.50830000 -84.81580000 271.0 980055.14
31020552 40.41130000 -84.81580000 287.0 980127.41
31020552 40.42030000 -84.81580000 288.6 980127.67
31020552 40.42630000 -84.81540000 289.7 980125.59
31020015 39.74380000 -84.81490000 346.0 980024.65
31020552 39.59690000 -84.81490000 309.4 980054.16
31020552 40.35280000 -84.81490000 306.0 980117.64
31020552 39.72910000 -84.81360000 344.1 980024.45
31020552 40.44940000 -84.81160000 286.9 980128.99
31020015 40.54160000 -84.80990000 264.8 980141.27
31020329 39.83330000 -84.80990000 347.5 980032.02
31020552 40.42130000 -84.80940000 288.8 980128.10
31020552 39.90910000 -84.80790000 336.5 980040.29
31020552 40.43040000 -84.80710000 296.8 980126.50
31020036 41.77830000 -84.80660000 317.9 980226.48
31020552 40.44040000 -84.80660000 292.5 980127.98
31020552 40.43330000 -84.80630000 294.6 980126.90
31020713 38.85220000 -84.80620000 149.0 979996.00
31020552 40.42580000 -84.80610000 297.2 980126.41
31020552 39.89160000 -84.80540000 343.2 980036.60
31020015 40.22430000 -84.80490000 327.1 980087.76
31020048 41.07490000 -84.80490000 230.6 980205.60
31020363 39.02990000 -84.80490000 155.1 979995.30
31020552 40.23830000 -84.80490000 322.2 980091.27
31020566 39.11860000 -84.80460000 163.1 980005.26
31020552 40.36740000 -84.80380000 303.9 980119.74
31020552 40.31630000 -84.80360000 341.7 980099.96
31020552 40.33790000 -84.80360000 321.3 980109.46
31020015 40.30940000 -84.80330000 324.6 980102.72
31020015 40.41530000 -84.80330000 281.4 980128.97
31020015 40.42890000 -84.80330000 297.0 980128.64
31020015 40.44740000 -84.80330000 288.1 980129.52
31020015 40.46580000 -84.80330000 276.8 980132.83
31020015 40.48490000 -84.80330000 275.5 980133.76
31020552 40.42780000 -84.80330000 295.3 980126.92
31020552 40.43040000 -84.80330000 299.2 980126.15
31020552 40.43330000 -84.80330000 295.3 980127.20
31020552 40.52790000 -84.80240000 264.6 980139.53
31020552 40.58190000 -84.80240000 269.4 980143.01
31020552 40.63030000 -84.80210000 257.3 980146.75
31020566 41.60290000 -84.80160000 291.7 980220.49
31020552 40.42690000 -84.80110000 294.0 980127.39
31020552 40.44080000 -84.80080000 292.8 980128.05
31020566 39.25580000 -84.80030000 178.6 980033.97
31020489 38.88330000 -84.79990000 160.3 979993.70
31020552 40.43040000 -84.79990000 297.3 980126.71
31020552 40.41940000 -84.79910000 281.3 980130.24
31020552 40.43440000 -84.79880000 294.2 980127.69
31020552 39.74490000 -84.79860000 343.5 980025.19
31020015 39.74380000 -84.79830000 343.5 980025.25
31020552 39.69780000 -84.79790000 334.8 980029.84
31020552 39.66540000 -84.79780000 329.2 980037.29
31020552 39.72610000 -84.79780000 341.4 980025.55
31020036 41.70830000 -84.79660000 328.9 980217.37
31020036 41.75160000 -84.79660000 320.6 980221.28
31020552 39.63290000 -84.79610000 317.9 980047.83
31020552 39.56740000 -84.79580000 305.4 980055.88
31020566 39.14960000 -84.79530000 160.9 980010.75
31020566 39.29860000 -84.79530000 193.5 980041.17
31020566 39.33190000 -84.79530000 229.2 980041.23
31020566 39.36190000 -84.79490000 235.6 980045.93
31020566 39.20080000 -84.79460000 151.8 980024.56
31020552 40.44910000 -84.79330000 285.5 980130.32
31020552 39.78780000 -84.79290000 357.8 980024.22
31020552 39.82210000 -84.79210000 362.1 980027.21
31020015 39.80490000 -84.79160000 340.6 980029.70
31020713 38.87150000 -84.79150000 156.4 979994.10
31020552 40.41030000 -84.79080000 287.5 980126.88
31020552 40.43330000 -84.79080000 276.2 980131.66
31020363 38.93330000 -84.78990000 147.8 979994.90
31020552 40.42130000 -84.78960000 291.1 980127.27
31020552 40.42860000 -84.78880000 295.0 980127.07
31020015 40.72830000 -84.78830000 247.0 980159.37
31020552 40.44080000 -84.78790000 274.7 980132.64
31020015 40.45130000 -84.78490000 282.5 980132.00
31020015 40.52840000 -84.78490000 270.9 980139.70
31020015 40.59730000 -84.78490000 265.1 980145.20
31020015 40.65540000 -84.78490000 253.3 980150.90
31020552 40.50790000 -84.78490000 274.6 980137.16
31020552 40.54440000 -84.78460000 263.3 980142.55
31020552 40.57380000 -84.78460000 269.4 980143.39
31020552 40.59130000 -84.78460000 264.6 980144.96
31020552 40.47990000 -84.78440000 278.6 980134.57
31020015 40.22380000 -84.78330000 327.5 980087.18
31020015 40.39630000 -84.78160000 291.9 980123.90
31020552 40.38490000 -84.78160000 298.1 980121.01
31020552 40.36690000 -84.78080000 312.1 980116.20
31020552 39.77280000 -84.77940000 351.4 980024.75
31020015 40.78630000 -84.77830000 252.5 980171.61
31020552 40.28190000 -84.77830000 310.9 980100.96
31020552 40.41210000 -84.77630000 287.7 980125.89
31020015 40.29480000 -84.77490000 309.7 980103.14
31020015 40.33810000 -84.77490000 325.7 980106.40
31020363 38.81330000 -84.77490000 197.5 979985.90
31020552 40.22290000 -84.77490000 322.2 980088.07
31020552 40.45040000 -84.77290000 287.9 980130.66
31020015 39.67810000 -84.77160000 312.5 980039.30
31020552 40.42160000 -84.77160000 291.0 980125.90
31020552 39.52860000 -84.77080000 308.8 980053.64
31020552 40.43710000 -84.77040000 295.7 980127.01
31020552 39.56080000 -84.76990000 306.6 980056.63
31020015 39.72940000 -84.76830000 337.4 980027.10
31020015 40.38740000 -84.76830000 301.4 980115.80
31020015 41.49710000 -84.76830000 264.4 980226.55
31020015 41.54160000 -84.76830000 271.6 980222.88
31020552 40.63330000 -84.76740000 254.5 980151.75
31020015 39.34740000 -84.76660000 196.2 980053.91
31020552 40.31960000 -84.76580000 332.8 980100.82
31020015 40.42910000 -84.76490000 293.6 980126.21
31020015 41.63490000 -84.76490000 302.1 980219.97
31020552 39.59460000 -84.76490000 295.7 980058.44
31020552 39.83690000 -84.76490000 371.3 980025.93
31020552 40.52710000 -84.76490000 267.9 980142.15
31020552 39.78780000 -84.76380000 361.2 980023.68
31020552 39.71410000 -84.76190000 330.7 980029.95
31020015 39.42060000 -84.76160000 271.6 980053.62
31020552 39.86280000 -84.76110000 360.3 980030.54
31020552 39.89860000 -84.76110000 352.0 980036.09
31020552 39.74380000 -84.76040000 347.5 980024.69
31020552 39.65540000 -84.76030000 323.1 980042.85
31020552 39.68490000 -84.76030000 331.3 980028.75
31020552 39.81240000 -84.76030000 357.2 980026.24
31020015 39.49340000 -84.75990000 291.1 980055.59
31020015 39.74380000 -84.75990000 347.7 980024.84
31020015 39.75760000 -84.75990000 346.7 980025.00
31020015 39.78710000 -84.75990000 359.6 980023.94
31020566 39.47910000 -84.75960000 307.5 980051.55
31020552 39.63280000 -84.75940000 312.7 980050.64
31020015 39.74380000 -84.75830000 347.7 980024.78
31020015 39.93890000 -84.75830000 340.9 980043.62
31020015 41.25240000 -84.75830000 225.1 980218.05
31020552 40.36690000 -84.75710000 313.0 980113.40
31020015 41.60890000 -84.75490000 287.1 980220.94
31020363 38.68490000 -84.75330000 179.5 979973.70
31020552 40.50880000 -84.75080000 270.4 980141.05
31020015 39.22190000 -84.74990000 241.0 980013.52
31020015 41.45760000 -84.74990000 256.0 980227.17
31020566 41.39690000 -84.74860000 258.5 980222.79
31020566 41.48410000 -84.74860000 253.3 980228.53
31020015 41.20790000 -84.74830000 224.9 980214.31
31020015 41.30310000 -84.74830000 232.6 980220.06
31020015 41.35330000 -84.74830000 248.9 980220.10
31020015 41.39640000 -84.74830000 257.6 980222.47
31020015 41.58480000 -84.74830000 274.9 980222.82
31020015 41.69310000 -84.74660000 298.8 980223.43
31020552 40.57460000 -84.74660000 273.1 980145.35
31020552 39.81940000 -84.74610000 370.9 980023.87
31020552 40.42110000 -84.74610000 289.3 980123.94
31020552 40.45040000 -84.74610000 289.3 980128.62
31020552 40.47460000 -84.74610000 273.1 980136.17
31020552 40.50880000 -84.74610000 266.7 980141.72
31020552 40.53080000 -84.74610000 268.2 980143.42
31020015 40.47990000 -84.74490000 279.0 980135.81
31020552 40.34490000 -84.74460000 324.9 980105.82
31020552 40.35210000 -84.74330000 322.2 980107.35
31020552 40.38830000 -84.74190000 299.9 980117.81
31020015 40.05260000 -84.74160000 336.5 980058.87
31020552 39.74360000 -84.74130000 351.1 980024.13
31020552 39.77280000 -84.74110000 368.2 980021.33
31020015 39.60060000 -84.73990000 298.1 980058.60
31020015 40.30860000 -84.73660000 308.5 980100.11
31020363 38.49660000 -84.73660000 267.9 979933.20
31020015 41.16490000 -84.73330000 224.5 980209.72
31020015 39.28340000 -84.73160000 171.9 980044.07
31020015 41.03330000 -84.73160000 230.7 980197.80
31020015 41.07760000 -84.73160000 228.8 980203.01
31020036 41.76660000 -84.72990000 330.1 980220.27
31020552 40.36660000 -84.72880000 320.6 980109.05
31020015 40.38160000 -84.72830000 309.2 980114.21
31020552 39.50990000 -84.72830000 268.8 980062.34
31020566 41.29580000 -84.72830000 226.5 980219.93
31020552 40.40530000 -84.72740000 294.7 980119.22
31020552 40.43130000 -84.72710000 305.0 980119.89
31020552 40.46490000 -84.72710000 284.1 980130.54
31020552 40.49410000 -84.72710000 276.5 980136.92
31020552 40.52360000 -84.72710000 264.0 980143.70
31020015 41.12410000 -84.72660000 226.3 980206.15
31020552 40.30880000 -84.72490000 328.6 980099.45
31020552 39.89410000 -84.72410000 370.0 980032.25
31020048 41.07830000 -84.72330000 228.9 980203.00
31020566 39.37690000 -84.72180000 276.1 980047.28
